2024-06-16 20:37:16.721 WARN Main : WARN
2024-06-16 20:37:16.732 ERROR Main : ERROR
2024-06-16 20:37:16.733 FATAL Main : FATAL
2024-06-16 20:37:16.742 WARN Main : waiting for link to connect
2024-06-16 20:37:17.455 INFO osc.OSCUtil : creating buttons for group 5 layer 2 (14)
2024-06-16 20:37:17.455 INFO osc.OscSynced : creating synced value for /composition/layers/14/connectspecificclip
2024-06-16 20:37:17.455 INFO osc.OSCUtil : resolume group 5 layer 1 connectSpecificClip index -1
2024-06-16 20:37:17.456 INFO osc.OSCUtil : creating buttons for group 5 layer 3 (15)
2024-06-16 20:37:17.456 INFO osc.OscSynced : creating synced value for /composition/layers/15/connectspecificclip
2024-06-16 20:37:17.456 INFO osc.OSCUtil : creating buttons for group 5 layer 4 (16)
2024-06-16 20:37:17.456 INFO osc.OscSynced : creating synced value for /composition/layers/16/connectspecificclip
2024-06-16 20:37:17.456 INFO osc.OSCUtil : creating buttons for group 5 layer 5 (17)
2024-06-16 20:37:17.456 INFO osc.OscSynced : creating synced value for /composition/layers/17/connectspecificclip
2024-06-16 20:37:17.456 INFO osc.OSCUtil : resolume group 5 layer 2 connectSpecificClip index -1
2024-06-16 20:37:17.457 INFO osc.OscSynced : creating synced value for /composition/layers/18/connectspecificclip
2024-06-16 20:37:17.456 INFO osc.OSCUtil : creating buttons for group 6 layer 1 (18)
2024-06-16 20:37:17.457 INFO osc.OSCUtil : creating buttons for group 6 layer 2 (19)
2024-06-16 20:37:17.457 INFO osc.OscSynced : creating synced value for /composition/layers/19/connectspecificclip
2024-06-16 20:37:17.457 INFO osc.OSCUtil : creating buttons for group 6 layer 3 (20)
2024-06-16 20:37:17.457 INFO osc.OscSynced : creating synced value for /composition/layers/20/connectspecificclip
2024-06-16 20:37:17.458 INFO osc.OSCUtil : creating buttons for group 6 layer 4 (21)
2024-06-16 20:37:17.458 INFO osc.OSCUtil : resolume group 5 layer 3 connectSpecificClip index -1
2024-06-16 20:37:17.458 INFO osc.OscSynced : creating synced value for /composition/layers/21/connectspecificclip
2024-06-16 20:37:17.458 INFO osc.OSCUtil : creating buttons for group 6 layer 5 (22)
2024-06-16 20:37:17.458 INFO osc.OscSynced : creating synced value for /composition/layers/22/connectspecificclip
2024-06-16 20:37:17.458 INFO osc.OSCUtil : creating buttons for group 6 layer 6 (23)
2024-06-16 20:37:17.458 INFO osc.OscSynced : creating synced value for /composition/layers/23/connectspecificclip
2024-06-16 20:37:17.458 INFO osc.OSCUtil : creating buttons for group 6 layer 7 (24)
2024-06-16 20:37:17.458 INFO osc.OscSynced : creating synced value for /composition/layers/24/connectspecificclip
2024-06-16 20:37:17.458 INFO osc.OSCUtil : creating buttons for group 6 layer 8 (25)
2024-06-16 20:37:17.458 INFO osc.OscSynced : creating synced value for /composition/layers/25/connectspecificclip
2024-06-16 20:37:17.459 INFO osc.OscSynced : creating synced value for /composition/layers/26/connectspecificclip
2024-06-16 20:37:17.459 INFO osc.OSCUtil : creating buttons for group 6 layer 9 (26)
2024-06-16 20:37:17.459 INFO osc.OSCUtil : creating buttons for group 7 layer 1 (27)
2024-06-16 20:37:17.459 INFO osc.OscSynced : creating synced value for /composition/layers/27/connectspecificclip
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 5 layer 3 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 2 layer 1 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 3 layer 1 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 5 layer 5 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 1 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 1 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 5 layer 4 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 2 layer 2 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 5 layer 4 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 1 layer 2 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 5 layer 5 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 2 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 3 layer 2 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 2 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 1 layer 3 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 4 layer 3 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 3 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 3 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 6 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 4 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 6 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 5 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 7 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 4 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 5 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 8 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 3 layer 3 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 7 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 4 layer 2 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 8 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 7 layer 1 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 9 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 7 layer 1 connectSpecificClip index -1
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 6 layer 9 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 2 layer 3 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 5 layer 2 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 5 layer 1 changed to null
2024-06-16 20:37:17.475 INFO osc.OSCUtil : resolume group 1 layer 1 changed to null
2024-06-16 20:37:17.474 INFO osc.OSCUtil : resolume group 4 layer 1 changed to null
2024-06-16 20:37:17.495 INFO osc.OSCUtil : {}
2024-06-16 20:37:18.462 INFO osc.OscSynced : creating synced value for /beats
2024-06-16 20:37:18.463 INFO osc.OscSynced : creating synced value for /beatProgress
2024-06-16 20:37:18.463 INFO osc.OscSynced : creating synced value for /bpmRounded
2024-06-16 20:37:18.474 INFO nestdrop.loadQueuesKt : loading queues from C:\Users\nikky\VJ\NestDropProV2\DefaultUserProfile.xml
2024-06-16 20:37:44.170 INFO nestdrop.deck.Deck : triggered at 48.11800000000012, 48.0
2024-06-16 20:37:44.170 INFO nestdrop.deck.Deck : triggered at 48.11800000000012, 48.0
2024-06-16 20:37:44.171 INFO nestdrop.deck.Deck : deck2.sprite.next()
2024-06-16 20:37:44.171 INFO nestdrop.deck.Deck : deck1.sprite.next()
2024-06-16 20:37:44.171 INFO nestdrop.deck.Deck : deck1.spriteFX.next()
2024-06-16 20:37:44.171 INFO nestdrop.deck.Deck : deck2.spriteFX.next()
2024-06-16 20:38:16.286 INFO nestdrop.deck.Deck : triggered at 48.048000000000414, 48.0
2024-06-16 20:38:16.286 INFO nestdrop.deck.Deck : triggered at 48.048000000000414, 48.0
2024-06-16 20:38:16.286 INFO nestdrop.deck.Deck : deck1.sprite.next()
2024-06-16 20:38:16.286 INFO nestdrop.deck.Deck : deck2.sprite.next()
2024-06-16 20:38:16.286 INFO nestdrop.deck.Deck : deck1.spriteFX.next()
2024-06-16 20:38:16.286 INFO nestdrop.deck.Deck : deck2.spriteFX.next()
